Sol,logS,logP,MP,InChI
-7.055807571295616,-2.509,3.59,-13.0,"InChI=1S/C8H19O2PS2/c1-4-7-12-11(9,10-6-3)13-8-5-2/h4-8H2,1-3H3"
-5.064361432041091,1.337,-0.31,-114.083125,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
-7.624735087752162,-4.194,4.12,-12.0,"InChI=1S/C15H24NO4PS/c1-6-18-21(22,16-11(2)3)20-14-10-8-7-9-13(14)15(17)19-12(4)5/h7-12H,6H2,1-5H3,(H,16,22)"
-11.985877091444333,0.978,-1.43,28.0,"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2"
-2.9732044163354656,-1.325,1.88,-74.0,"InChI=1S/C7H14O/c1-6(2)4-5-7(3)8/h6H,4-5H2,1-3H3"
-7.747455626973458,-2.28,1.38,27.0,"InChI=1S/C4H7Br2Cl2O4P/c1-10-13(9,11-2)12-3(5)4(6,7)8/h3H,1-2H3"
-1.2768392628163352,-1.6059999999999999,1.98,-100.0,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3"
-3.6344663129561168,-0.321,0.53,-111.9425,"InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3"
-0.908755864194174,-2.7760000000000002,3.12,-25.1175,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
0.031401861974253105,-4.1958,4.5,-10.0,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3"
-3.47927799473674,-1.922,2.31,2.5,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3"
-3.2851154598559864,-1.439,2.83,-62.0,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3"
-1.2697436370656603,-2.526,2.95,-31.0,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
-2.312338649074951,-3.14,3.42,90.1,"InChI=1S/CBr4/c2-1(3,4)5"
-5.893571876317469,1.251,-0.38,-51.8,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2"
-4.307553717508536,-1.239,2.03,-44.6,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
-10.05081527044884,1.026,-0.72,-29.0,InChI=1S/C5H6N2/c6-4-2-1-3-5-7/h1-3H2
-5.4360598993537295,-1.8619999999999999,1.92,-60.0,"InChI=1S/C12H26O3/c1-3-5-7-13-9-11-15-12-10-14-8-6-4-2/h3-12H2,1-2H3"
-5.807626637417762,-6.625,5.45,102.0,"InChI=1S/C16H12ClF4N3O4/c1-2-22(8-10-11(17)4-3-5-12(10)18)15-13(23(25)26)6-9(16(19,20)21)7-14(15)24(27)28/h3-7H,2,8H2,1H3"
-9.159490954506383,-4.427,2.93,213.0,"InChI=1S/C9H16ClN5/c1-5(2)11-8-13-7(10)14-9(15-8)12-6(3)4/h5-6H,1-4H3,(H2,11,12,13,14,15)"
-6.75574836163467,-4.133,4.2,15.0,"InChI=1S/C11H20N3O3PS/c1-6-14(7-2)11-12-9(3)8-10(13-11)17-18(19,15-4)16-5/h8H,6-7H2,1-5H3"
-2.53,-2.492,3.05,-6.0,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1"
-2.288366601457917,-0.634,0.73,-93.2,"InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3"
0.3570033350082217,-3.335,3.93,-108.9,"InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2"
-8.079659173211793,-3.4619999999999997,3.81,-20.0,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3"
-3.6163032718613217,-5.2804,5.73,-54.0,"InChI=1S/C20H27O4P/c1-3-5-12-18(4-2)17-22-25(21,23-19-13-8-6-9-14-19)24-20-15-10-7-11-16-20/h6-11,13-16,18H,3-5,12,17H2,1-2H3"
-6.199677112053116,-1.052,1.92,-2.995833333333333,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"
-10.866682118324043,-3.1510000000000002,2.22,168.0,"InChI=1S/C9H13ClN6/c1-4-12-7-13-6(10)14-8(15-7)16-9(2,3)5-11/h4H2,1-3H3,(H2,12,13,14,15,16)"
-8.172948102801941,0.935,-0.44,29.0,InChI=1S/C4H8N2O2/c7-5-6-1-3-8-4-2-6/h1-4H2
-3.2547249455741243,-0.151,0.84,-92.0,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3"
-10.1657721351578,-3.57,3.36,75.0,"InChI=1S/C17H21NO2/c1-4-18(5-2)17(19)13(3)20-16-12-8-10-14-9-6-7-11-15(14)16/h6-13H,4-5H2,1-3H3"
-11.36001596189733,-3.536,2.87,158.0,"InChI=1S/C12H18N2O/c1-9(2)10-5-7-11(8-6-10)13-12(15)14(3)4/h5-9H,1-4H3,(H,13,15)"
-9.121898425288759,-2.85,2.13,137.0,"InChI=1S/C14H12O2/c15-13(11-7-3-1-4-8-11)14(16)12-9-5-2-6-10-12/h1-10,13,15H"
-7.6752670744903435,0.545,0.78,-5.0,"InChI=1S/C3H4Cl2O2/c1-3(4,5)2(6)7/h1H3,(H,6,7)"
0.025770074306383697,-5.255,5.52,-61.0,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3"
