SMILES,InChI,HL,Sol,RB,MW
c1ccccc1-c1ccccc1,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,0.000308,-2.588382695,1,154.0782503
Cc1ccc(O)c(c1)OC,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",1.33E-06,-5.809797088,1,138.0680796
Cc1ccccc1C,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",0.00518,-0.918511762,0,106.0782503
Cc1ccccc1O,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",1.20E-06,-5.870651281,0,108.0575149
Cc1ccccc1Cl,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",0.00357,-1.138742247,0,126.0236279
Clc1ccccc1Cl,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,0.00192,-1.505699167,0,145.9690055
Cc1ccccc1N,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3",1.98E-06,-5.574374298,0,107.0734993
Oc1ccccc1Cl,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",1.12E-05,-4.549176398,0,128.0028925
Cc1cc(C)c(C)cc1,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3",0.00616,-0.815997872,0,120.0939004
Cc1cc(N)ccc1C,"InChI=1S/C8H11N/c1-6-3-4-8(9)5-7(6)2/h3-5H,9H2,1-2H3",1.86E-06,-5.611363629,0,121.0891494
Cc1cc(O)ccc1C,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",4.15E-07,-6.498850015,0,122.0731649
Cc1cc(O)c(C)cc1,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",1.12E-06,-5.911469988,0,122.0731649
Clc1cc(Cl)c(Cl)cc1Cl,InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,0.001,-1.891638615,0,213.8910608
ClC(CCl)CCl,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2",0.000343,-2.524704456,2,145.9456832
CCC(=O)CC,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",5.00E-05,-3.664023438,2,86.07316494
CC1CCCO1,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3",9.30E-05,-3.296867682,0,86.07316494
CC(C)(C)c1ccc(O)cc1,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",1.19E-06,-5.875602244,0,150.1044651
